id,date,type,feature_type,feature_subtype,description,lat,lon
346,2021-11-09T23:42:00Z,hazard-concern,safety/comfort concern,vehicles - speed makes uncomfortable,Drivers are constantly speeding in this area of Quadra. It goes from 40 to 50 km just after Tolmie and everyone speeds up then goes down the hill before Inverness and they pick up speed while doing so.,48.45240618186212,-123.36067969008614
347,2021-11-10T16:45:57Z,amenity,marked crosswalk,NA,"People cross here ALL the time. People with children going to school, people getting off the bus, people wanting to go to the grocery store. Etc. ",48.453662532719584,-123.36015512005932
348,2021-11-10T23:49:01Z,hazard-concern,safety/comfort concern,other users - bicycle,There is no bike lane over the bridge on either side. The existing temporary lane on the west side forces cyclists into traffic.,48.44674526654429,-123.40120547264794
349,2021-11-11T01:10:00Z,incident,near miss,vehicle turning right,A car spend to the intersection and nearly didn’t stop for us. We had possession of the crosswalk and the driver wanted to roll through the stop sign to turn right,47.570476003806185,-52.70069011981085
350,2021-11-11T00:48:29Z,hazard-concern,crossing issue,drivers don't stop or yield to pedestrians,"Drivers speed along Military Road, often blowing through the crosswalk or screeching to a halt. ",47.57014414409107,-52.70703440609753
351,2021-11-11T02:20:35Z,hazard-concern,safety/comfort concern,other users - mobility scooters/electric wheelchairs,"There is no way to cross Tillicum Bridge safely besides the underpass pedestrian path. However, the slope of this path is really steep and becomes slippery in leaves and ice in the winter. ",48.44606373604908,-123.40167038991115
352,2021-11-11T02:47:04Z,amenity,connections (e.g. cut-through needed),NA,"Recently constructed Shoppers Drug Mart installed a wall and fence around its parking lot that blocks pedestrian access, forcing people to take a longer indirect route to the store and also through the property to nearby streets.",47.56322179234204,-52.730962202035315
354,2021-11-12T17:29:08Z,amenity,benches,NA,"The bench at the eastbound bus stop at Fairfield Road and Moss Street was taken away a number of years ago and never replaced, The removal of the telephone box that used to be at the bus stop means that the lack of space is no longer an excuse.",48.415502477841905,-123.34941335449193
355,2021-10-23T21:10:00Z,hazard-concern,safety/comfort concern,other users - bicycle,"Bicycle crossing paint leads cyclists to believe stop signs don't apply to them, leading to failure to yield to pedestrians (and sometimes vehicles)",48.41831991518597,-123.35822564168163
356,2021-11-09T23:15:00Z,hazard-concern,safety/comfort concern,other,"Timing of signals makes it difficult for vehicles to turn onto douglas, leading to conflicts between pedestrians and cars.",48.42219026760865,-123.3660531044438
357,2021-11-11T08:50:00Z,amenity,sidewalk,NA,"Sidewalks are too narrow for this major pedestrian route, evidenced by mud ",48.42201977888241,-123.35715146658261
358,2021-11-13T23:04:00Z,hazard-concern,crossing issue,poor visibility of pedestrians,Peden visibility at the corner of Simcoe and Government especially for a walker west on the south side due to parked cars and trucks on the east side of Government. ,48.42705289234855,-123.40752093945314
359,2021-11-13T19:00:00Z,incident,hit by,animal,"Off leash dog jumped up at me, hitting my torso. Dog owners did not apologize but moved their dogs away when asked and indicated the problem was that I was carrying food. My friend replied that it doesn't excuse the dog and the owner swore at my friend.",48.52434931129427,-123.48246317859478
360,2021-11-14T21:32:30Z,hazard-concern,crossing issue,conflict with vehicles turning right,I have had a number of close calls trying to cross Gorge Road heading south as drivers trying to turn right onto Gorge focus their attention to their left.  I’ve also had the same issue crossing northwards with the light.,48.447805518993604,-123.40053781901814
361,2021-11-14T06:32:00Z,hazard-concern,safety/comfort concern,other,"The island where pedestrians must stand to cross Tillicum or Gorge Roads is completely exposed to northbound traffic, often travelling at speed around a curve.",48.44770533813009,-123.40029238973953
362,2021-11-15T19:43:58Z,incident,hit by,vehicle turning head-on,https://www.saltwire.com/newfoundland-labrador/news/pedestrian-struck-by-suv-sent-to-hospital-in-st-johns-sunday-night-100657907/,47.56796320245935,-52.70358045117006
363,2021-11-17T19:40:17Z,hazard-concern,side walk infrastructure issue,obstruction - inadequate or lack of safe detour for pedestrians,"The west sidewalk is closed, the street is often blocked with construction equipment and vehicles. Often there are no safety persons on site.",49.26845964881937,-123.14798786318728
364,2021-11-17T16:30:00Z,hazard-concern,crossing issue,drivers don't stop or yield to pedestrians,"Drivers seem unaware that there is a crossing light for pedestrians.  They speed through the crosswalk and we have been almost hit a couple of times.  The crossing light is only a few months old, it is not bright enough and it is set too high. the light s should be lowered and should be brighter.",49.034835180839195,-122.83431796694447
365,2021-11-17T21:46:14Z,amenity,sidewalk,NA,This is a barrier-separated path from Station Street to Thornton Street. Not a proper sidewalk.,49.2743966236567,-123.09796534694561
366,2021-11-17T21:55:13Z,amenity,other,NA,No garbage cans for at least 4 blocks on Beach Avenue. From Bidwell st west.,49.28209975444661,-123.14033417983136
367,2021-11-14T18:12:00Z,amenity,marked crosswalk,NA,"This is a popular route for dog walkers and cyclists, but there is no safe crossing infrastructure on either side of the creek.",49.19590181615415,-122.99623046758369
368,2021-11-14T18:12:00Z,amenity,marked crosswalk,NA,Popular walking and cycling trail is missing a safe crossing option of a busy industrial road.,49.196150347930654,-122.99654835067645
369,2021-10-15T00:15:00Z,hazard-concern,side walk infrastructure issue,too narrrow,This sidewalk is used by both cyclists and pedestrians and it isn't wide enough to safely accommodate both  types of users. ,49.214329545899815,-122.96131043699872
370,2021-10-15T00:12:00Z,hazard-concern,side walk infrastructure issue,too narrrow,This sidewalk is a narrowing of the new urban trail along Rumble Street. This is a popular cycling route and its too narrow for pedestrians and cyclists to safely travel. It is also along a school which is a high pedestrian traffic zone. ,49.214973439001696,-122.98451542609975
371,2021-11-14T15:36:00Z,hazard-concern,safety/comfort concern,other users - bicycle,"Road is not seamed evenly, potholes and ruts make it unsafe",41.71800396805689,-72.66048977003673
372,2021-11-18T05:05:54Z,hazard-concern,crossing issue,signal - pedestrian interval too short,The time to cross the street is very short due to the width of the street especially for older people or people with disabilities. ,49.2595991539992,-122.96460470390636
373,2021-11-20T02:00:20Z,hazard-concern,side walk infrastructure issue,"obstruction - uneven sidewalk (eg. roots, holes, cracks)",There's a sidewalk panel that is raised on the north side.Tripping hazard!,48.45268538082149,-123.4295076070846
374,2021-10-15T21:05:00Z,incident,near miss,vehicle turning head-on,"vehicles high density traffic, intersection too busy needs traffic light, close collision calls",48.524077327056766,-123.43119822873294
375,2021-11-20T00:10:00Z,incident,near miss,vehicle turning left,Vehicle turning left didn't even see me (or look right) as I was walking north in the crosswalk. This is a terrible intersection. Vehicles need a light here. ,48.44821528371048,-123.42640758230816
376,2021-11-21T02:58:06Z,hazard-concern,side walk infrastructure issue,"obstruction - uneven sidewalk (eg. roots, holes, cracks)",On the path up the hill to Admirals there are tons of buckling in the asphalt.,48.45280562084188,-123.42161083018843
377,2021-11-20T01:15:00Z,amenity,sidewalk,NA,"There is no sidewalk on either sides of the road here. There is a walking path nearby connecting McCallum with Florence Lake Rd, however, there is no lighting whatsoever, and due to the flooding it is inaccessible right now. ",48.454843018175154,-123.5073684637231
378,2021-11-22T15:10:00Z,hazard-concern,crossing issue,crosswalk needed,"This is a weird place to try and cross. Vehicles are often coming from all directions, driving along, or turning onto Inverness and it makes it a real hassle to try and cross the road from the park. ",48.452142314822126,-123.3628356135358
379,2021-11-23T21:21:43Z,amenity,marked crosswalk,NA,lots of jay-walking and people running across the street here. ,48.43525000587256,-123.35657347942337
380,2021-11-19T15:09:00Z,hazard-concern,side walk infrastructure issue,slope issues (eg. driveways),"Mobility Aid Users + those with disabilities beware of Green Street.
Driveways severely slopped you can tip over or roll out into road.
I recommend walking on the road. instead. Watch for 2 way traffic!",48.431509897710875,-123.35706707000105
381,2021-11-26T02:09:00Z,amenity,sidewalk,NA,There is a lack of sidewalk on Ker Avenue and vehicles tend to use this road to access the light at Arena Road at Tillicum Road. ,48.45375635735722,-123.40097183619547
382,2021-11-26T05:12:46Z,amenity,marked crosswalk,NA,Amica on the Gorge is home to a number of mobility challenged seniors who have trouble navigating the slopes leading up to Admirals road on both sides of Gorge.  They frequently cross directly from Amica parking lot to access the Gorge Waterway Park.,48.453203920216595,-123.4196220010772
383,2021-11-26T05:12:46Z,amenity,marked crosswalk,NA,"There are bus stops on either side of the street and a public washroom on the south side of Gorge Rd.  Traffic heading into town comes around a blind corner where people frequently cross the road to access the bus stop, washroom or park.",48.45053326392981,-123.41194077224208
384,1988-07-02T04:09:00Z,hazard-concern,crossing issue,other,The distance to cross from either side of Tillicum on the west side of Gorge Road is 7 lanes wide with 2 lanes (the slip lanes turning right) are 15 feet wide where the standard lane is 12 feet.  Pedestrians have to cope with drivers who are more concerned with cars traveling through the intersection than pedestrians.,48.44773693971351,-123.40090776818259
385,2021-11-24T23:03:00Z,hazard-concern,crossing issue,poor visibility of pedestrians,Northbound traffic has a blind corner and hill just before the cross walk.  Southbound traffic   comes downhill onto the crosswalk from the highway.  This is a major route to school and the only access to the Galloping Goose from this end of our community.,48.45845702388773,-123.40918603396904
386,2021-11-23T18:12:00Z,amenity,marked crosswalk,NA,There are no marked crosswalks on Tillicum between Craigflower and Gorge Road.  There is a pedestrian underpass at Gorge Bridge but it is long and steep.,48.444178657343,-123.40133289431061
387,2021-11-22T19:12:00Z,amenity,sidewalk,NA,"Sidewalks on both sides of Tillicum are narrow, exposed to high speed traffic and completely lacking in shade.  ",48.44908439265461,-123.39902171970019
388,2021-11-19T21:12:00Z,hazard-concern,safety/comfort concern,vehicles - speed makes uncomfortable,The bike lane ends awkwardly. Cyclists must cross a turn lane and then proceed southwards without a lane.  ,48.452031868004326,-123.395779445998
389,2021-11-09T19:12:00Z,hazard-concern,crossing issue,signal - pedestrian interval too short,"There is a seniors centre on one side of Tillicum and a mall on the other side.  Mobility challenged seniors struggle to get across too many lanes of traffic in time. Traffic is heavy, moving quickly and racing for lanes and there are many near misses.",48.4544121939542,-123.393019399288
390,2021-11-26T19:13:28Z,hazard-concern,crossing issue,crosswalk needed,"To access the south side of Francis/King Regional Park from the parking area, pedestrians must cross Munn Road without a crosswalk. Visibility is poor as cars come around a corner from the south. There is no other way to access the south side of the park except to J walk. ",48.48402433087252,-123.44487575274803
391,2021-11-26T19:36:26Z,amenity,marked crosswalk,NA,"Linden is a popular north/south corridor for walking and has crosswalks at nearly every intersection, except for Linden and May.  May being wide and straight also sees a lot of people speeding.",48.41179500159063,-123.35334743891765
392,2021-11-26T22:06:52Z,hazard-concern,weather related or seasonal,leaves,Leaves in separated bike lane,44.045483706910986,-123.09713025903427
393,2021-11-26T17:33:00Z,hazard-concern,safety/comfort concern,vehicles - speed makes uncomfortable,Night riders of motorcycles wake people up  nearby,-34.80746878510057,138.6058005468938
394,2021-11-10T15:20:00Z,hazard-concern,side walk infrastructure issue,obstruction - sign blocking path,there is a construction sign partially blocking the sidewalk and bike lane.,48.46477195564834,-123.44601070499117
395,2021-11-10T15:21:00Z,hazard-concern,side walk infrastructure issue,obstruction - parked vehicles or delivery vans,"there is a construction pick up truck completely blocking the sidewalk and part of the bike lane.
the vehicle is not unloading or loading and there is parking further up the road.",48.46448121708884,-123.4451146297071
396,2021-11-28T21:43:05Z,amenity,sidewalk,NA,Sidewalk ends abruptly. To go down street you have to go back to the library intersection and cross.,48.445451359233566,-123.53168220681039
397,2021-11-28T21:43:05Z,amenity,sidewalk,NA,When walking up from the trail there is a bus stop area and parking but no sidewalk. You have to walk up the bike path.,48.445333193235136,-123.53105119042509
398,2021-11-22T19:30:00Z,amenity,curb cut,NA,"Crosswalk is popular for elderly trail users with mobility devices who have challenges at this crossing.


",48.48862739184881,-123.39606122582381
399,2021-11-29T02:43:08Z,hazard-concern,crossing issue,drivers don't stop or yield to pedestrians,"Both directions, traffic do not stop. Road is at a slope and also blind corners so cars don’t see pedestrians and do not slow down or stop for pedestrians",48.47515375889832,-123.51311371426102
400,2021-11-29T22:08:08Z,hazard-concern,safety/comfort concern,other,"When I'm walking along 8th avenue and approaching Bulkley Drive, I walk on the lefthand side of the road opposing traffic becasue there is no sidewalk. At this 3-way-intersection though, travelling along 8th towards Sunnypoint, I find vehicles quickly turn right from Bulkley Valley entering 8th and often don't see me, especially with darker days of winter. I have had a couple of near-misses. ",54.78877861524788,-127.16386995824602
401,2021-11-30T00:01:00Z,hazard-concern,crossing issue,conflict with vehicles turning left,Vehicles turn left (turning NW onto Island Hwy) without being able to clear the intersection blocking the crosswalk. This happens often at peak times.,48.45107302414972,-123.4247574651271
402,2021-11-29T23:30:00Z,hazard-concern,side walk infrastructure issue,"obstruction - uneven sidewalk (eg. roots, holes, cracks)",Almost tripped on a lifted block of the sidewalk.,48.45028510908977,-123.42283886414693
403,2021-11-29T23:30:00Z,hazard-concern,side walk infrastructure issue,"obstruction - pole (hydro, telephone)",At the bus stop the sidewalk is very narrow with both the bus stop sign and a hydro pole.,48.450933189810726,-123.4243446588842
404,2021-11-30T21:41:57Z,hazard-concern,weather related or seasonal,ice,Uneven and slippery ice packed spots,49.87593458687412,-97.11156164349028
405,2021-11-26T19:49:00Z,hazard-concern,crossing issue,other,Crosswalk is up the hill from the trail crossing and thus no one ever uses it - making it confusing for drivers and unsafe.,48.47922644067902,-123.40614948415957
406,2021-11-30T23:58:40Z,hazard-concern,crossing issue,poor visibility of pedestrians,People speed and can’t see us pedestrians as we try to cross. Someone is going to get in an accident t and serious injuries ,48.475311619559655,-123.51315531043876
407,2021-10-14T03:11:00Z,incident,near miss,vehicle turning right,Many more times. ,48.45368183829956,-123.39566769818256
408,2021-12-01T04:11:46Z,hazard-concern,safety/comfort concern,vehicles - speed makes uncomfortable,"Tillicum road
Sidewalks are very narrow, vehicles go very fast. Very unsafe. ",48.45060198873325,-123.39755011201582
409,2021-12-01T04:11:46Z,amenity,sidewalk,NA,No sidewalks and street is used as a pass through- car speeding down the street ,48.45126505683091,-123.39819938101054
410,2021-12-01T15:34:13Z,amenity,marked crosswalk,NA,have to run for your life to get across to services on north side of road.,60.72956670363418,-135.06219005050968
411,2021-12-01T15:50:56Z,amenity,connections (e.g. cut-through needed),NA,Two paths in two parks with no connection between them. Long walk around. ,48.474707901889396,-123.40822489639201
412,2021-12-01T15:50:56Z,hazard-concern,side walk infrastructure issue,"uncomfortable service (for wheelchairs, etc.)","Uneven, sloped sidewalk with a raised manhole in the middle. Frequently blocked by parked cars. ",48.456258859020366,-123.41309703163307
413,2021-11-30T22:00:00Z,hazard-concern,side walk infrastructure issue,obstruction - inadequate or lack of safe detour for pedestrians,"Sidewalk turns sharp and slopes towards intersection on busy street,  Has been reported to the Town of Sidney a number of times.",48.652166176548015,-123.40215947721533
414,2021-12-01T18:05:55Z,amenity,other,NA,No bike lane between Harriet and Tillicum.,48.44451977353122,-123.39172900649322
415,2021-12-01T20:16:05Z,amenity,sidewalk,NA,The sidewalk only goes partially up veyannes from east saanich. There is no shoulder when it ends putting pedestrians in the roadway. Cars also drive faster then the 40km speed limit putting pedestrians at risk. ,48.583571852046425,-123.41499825206054
416,2021-11-30T23:44:00Z,hazard-concern,safety/comfort concern,other,Trail is falling away at edge of fence. Land underneath is slumping. City says their engineers will be asked to look at it next year. Fence is Yukon Government airport fence. This trail is a long-established trail and has been at risk for decades at this spot.,60.71007083475911,-135.05660257835717
417,2019-12-01T23:17:25Z,hazard-concern,crossing issue,crosswalk needed,"Busy road, drivers speeding. Bus stop on either side of Sooke road and many commuters, difficult to cross busy road. Low light as well. There is a park that people like to walk their dogs down to and again no sidewalks and cross walk make it very dangerous . ",48.43193195731718,-123.50918219959424
418,2019-12-01T23:17:25Z,hazard-concern,safety/comfort concern,vehicles - speed makes uncomfortable,"Limited vision caused by a truck parked right at the corner/bottom of hill. Trees also impairing vision. Cars take the entire lane in order to go around the corner and go at high speed. Near miss two times while on bike. Walking is also dangerous , no pedestrian safety there.",48.43186918389838,-123.50997690790308
419,2019-12-01T23:17:25Z,hazard-concern,safety/comfort concern,vehicles - speed makes uncomfortable,Stop sign that almost no one stops. They blast through . I have had two near misses as a pedestrian. ,48.43140065675607,-123.51257865657797
420,2019-12-01T23:17:25Z,hazard-concern,safety/comfort concern,vehicles - speed makes uncomfortable,Cars are using Cecil Blogg dr as a cut through to Jacklin rd because Sooke is too busy. They blast through very fast. Many people like to walk their dogs and kids and it’s become very dangerous. (Peak times) ,48.431802409000674,-123.51125414273001
421,2021-12-01T23:17:25Z,hazard-concern,safety/comfort concern,other users - dogs,"Dogs not on leashes. They are not well under control .
No enforcement ",48.42374898154008,-123.46424688576636
422,2021-12-01T23:17:25Z,hazard-concern,safety/comfort concern,vehicles - speed makes uncomfortable,There is a huge need for some sidewalk or path for pedestrians . The cars rip around this corner and there is no safe place to walk or even cross.,48.43292183890117,-123.45713027224602
423,2020-12-01T23:17:25Z,incident,fall,slipped,When there is snow on the red brick sidewalk it is very slippery . So strange as it is not on regular pavement. It’s like the surface as a non stick coating and the snow just slides around on it. The regular sidewalks don’t do this. ,48.437640151225814,-123.51314712060338
424,2021-12-02T00:17:00Z,amenity,lighting or additional lighting,NA,This neighbourhood is very dark in the evening and during the fall and winter months  when the ditches run with fast moving water and cars park on the street visibility for pedestrians and drivers alike becomes more important for the safety of pedestrians and cyclists. ,48.45721014137197,-123.54775303769529
425,2021-12-02T01:29:48Z,hazard-concern,safety/comfort concern,other,Vehicles parked on the street make walking dangerous. Cars obscure visibility. These cars belong to houses with double garages and wide driveways so there is no need for them to park on the street. ,48.41681368302528,-123.49908697295601
426,2021-12-02T03:28:28Z,hazard-concern,safety/comfort concern,other users - bicycle,Foul Bay Road is unsafe for cyclists from McNeil to Fort St. especially north of Oak Bay Ave. North to Leighton. Cars cannot pass bikes safely and parking on the Victoria (west side) should be removed to allow bike lanes put in. ,48.42906387473584,-123.32193937076512
427,2021-09-15T23:02:00Z,hazard-concern,crossing issue,poor visibility of pedestrians,"Blind corner at the entrance to Chevron gas station from Mckenzie Avenue. Bushes obscure line of sight to vehicle traffic coming in and out of the gas station. Hazard to pedestrians, and cyclists. ",48.468657435217835,-123.31893141620968
428,2021-12-02T17:20:15Z,hazard-concern,safety/comfort concern,other,"Large commercial vehicle parked on road obstructing vision for drivers.  Vehicles parked on other side of road make it even worse.  Pedestrians or cyclists are forced into the traffic lane and vehicles entering Salton from Wishart cannot see them in time.  According to Colwood parking bylaw, page 23, article 31.10 this vehicle should not be allowed to park there.",48.41770718593185,-123.49579447659883
429,2021-12-02T18:38:00Z,amenity,marked crosswalk,NA,There is a new subdivision on Bakerview Close with lots of families with young children and lots of seniors. Crossing Lochside is treacherous. We need a lighted crosswalk and also a sidewalk on the ocean side so we can safely walk. Thank you,48.63294220819093,-123.40860255088762
430,2021-12-04T20:39:27Z,hazard-concern,crossing issue,crosswalk needed,Bakerview and lochside needs a crosswalk.  ,48.63670381985138,-123.40519256809681
431,2021-12-06T01:42:18Z,amenity,audible,NA,sdfsdaf,49.629392985172146,-125.13183470073241
432,2021-12-05T18:49:00Z,hazard-concern,crossing issue,conflict with vehicles turning right,"On a given day most drivers fail to show their lntention
Most drivers do not signal when leaving the roundabout.

Including commercial vehicle drivers.



",48.4681236139906,-123.43055081784078
433,2021-12-05T18:00:00Z,hazard-concern,safety/comfort concern,other users - dogs,Off leash dog rushed a clipped me while running then circles back to jump at me. I scolded the dog while the owner just seemed amused and did nothing except wish me a good day in a condescending manner.,48.45861097008069,-123.40243045913421
434,2021-12-08T16:10:38Z,hazard-concern,crossing issue,drivers don't stop or yield to pedestrians,people go too fast ,48.44024194882146,-123.34467681075955
435,2021-12-08T16:10:38Z,hazard-concern,crossing issue,drivers don't stop or yield to pedestrians,people go too fast ,48.44024194882146,-123.34467681075955
436,2021-12-08T16:10:38Z,hazard-concern,crossing issue,drivers don't stop or yield to pedestrians,people go too fast ,48.44024194882146,-123.34467681075955
437,2021-12-09T01:37:41Z,hazard-concern,crossing issue,drivers don't stop or yield to pedestrians,"Minimal street lights, no lights for a crosswalk. Cars rarely stop for pedestrians ",48.6014946909974,-123.41699855632501
438,2021-12-09T01:37:41Z,hazard-concern,crossing issue,drivers don't stop or yield to pedestrians,"No street lights, impossible to see people crossing at night. This is across from a busy baseball and soccer field ",48.58872742071631,-123.42181438485193
439,2021-12-09T01:37:41Z,hazard-concern,crossing issue,drivers don't stop or yield to pedestrians,"No lights at crosswalk, no street lights. No one stops for pedestrians ",48.586909017931596,-123.42263255177515
440,2021-12-09T05:15:40Z,hazard-concern,crossing issue,poor visibility of pedestrians,"No lighting, close to a hill",48.5956448654223,-123.42135955360838
441,2021-12-03T04:48:00Z,hazard-concern,safety/comfort concern,vehicles - number makes uncomfortable,"The road is supposed to be on a timed closure to vehicles. Usually there is nothing in the roadway to block off the road so vehicles regularly continue to go down a ""closed"" street.",48.42452601237299,-123.3679382805286
442,2014-05-06T21:40:00Z,amenity,sidewalk,NA,Sidewalk disappears.,48.421931295330936,-123.41084646824265
443,2021-12-13T18:34:36Z,hazard-concern,crossing issue,poor visibility of pedestrians,"Long stretches of Saanich Road are difficult and dangerous to cross. At the marked location especially, you have logical pedestrian corridor to the Lochside Trail, but a dangerous crossing due to the curve of the road, hill and vegetation creating poor sightlines.",48.461505600468044,-123.36919350074061
444,2021-12-13T18:34:36Z,hazard-concern,safety/comfort concern,other users - bicycle,"There are bike lanes on either side of Cedar Hill Cross Road heading west from Cedar Hill Road, but both end before the crest of the hill. Essentially, they end at the most dangerous spot possible, forcing cyclists to onto a road with no shoulder and terrible sightlines.",48.4629309909428,-123.33776208868004
445,2021-12-13T18:34:36Z,hazard-concern,crossing issue,drivers don't stop or yield to pedestrians,"This crosswalk has very poor visibility to vehicles coming down the hill from the east. The curve creates the visibility problem and the hill creates speed. There was a fatal accident here. It should be reported on the map as well, but it should be done by someone more familiar with the incident.",48.46400528732168,-123.34221296341163
446,2021-12-19T22:22:33Z,hazard-concern,safety/comfort concern,other users - dogs,"Idiot dog owners should learn that ""he's friendly"" is code for I haven't bothered to train him. ",48.45823633229798,-123.40527534709742
447,2021-12-21T03:20:00Z,hazard-concern,crossing issue,signal - button difficult to access,"Push button is located on the other side of the slip lane.  
Today the push button was malfunctioning ",48.46667184515244,-123.42862579075077
448,2021-12-21T23:23:07Z,hazard-concern,crossing issue,crosswalk needed,There are paths on the east and west side of this street and a bus stop on the west side.  People cross here unprotected all the time. This needs a pedestrian crosswalk.,43.64002980560773,-79.4542220051711
449,2021-12-19T17:00:00Z,hazard-concern,crossing issue,signal - pedestrian interval too short,"When travelling to the lake (south) the crossing light is two stages so there is enough time to get from the crosswalk to the median and then across to the lake.  Going away from the lake (north) the crossing cycle is so short that even an able bodied person needs to jog to get across in one light.  This needs to be adjusted to be timed for pedestrians, not cars.",43.63502984755944,-79.46819878929259
481,2021-12-23T01:04:39Z,incident,near miss,vehicle turning left,Vehicle traveling north on Admirals flew into a left turn on Aldersmith. Didn't stop until her was within inches of me already in the crosswalk. Continued on to the Dominoes lot. Reported dangerous driving to Westshore RCMP. ,48.4482618738332,-123.42633267832464
482,2021-12-23T18:16:47Z,hazard-concern,weather related or seasonal,leaves,Thick layer of leaves that were blown off the school field earlier in the fall. Makes sidewalk slippery and possibly impassable for small wheels.,48.453097349923965,-123.42155137920774
483,2021-12-23T17:31:30Z,hazard-concern,side walk infrastructure issue,other,Sidewalk ends in busy traffic with no warning and no crosswalk.,48.43994844314366,-123.40268482839963
484,2021-12-23T22:02:59Z,hazard-concern,crossing issue,conflict with vehicles turning left,Conflicting signals between Drivers and Pedestrians.  Drivers turning left from Watkiss Way onto Helmcken.  Two cars continued to turn while pedestrians were using the crosswalk.,48.46650905264898,-123.42867525781898
485,2021-12-25T16:39:03Z,hazard-concern,safety/comfort concern,vehicles - speed makes uncomfortable,"Painted bike lane ends and right lane becomes a turn lane, forcing cyclists into middle lane to continue down Harriet",48.450522354704944,-123.38344694565346
486,2021-12-25T16:39:03Z,hazard-concern,safety/comfort concern,vehicles - speed makes uncomfortable,"Painted bike lane ends, forcing cyclists intro traffic to continue on Boleskine/Saanich Rd",48.45242997263093,-123.3782531192563
487,2021-12-17T17:39:00Z,hazard-concern,crossing issue,other,"This crossing often becomes very congested with both cyclists and pedestrians. Since the wait is long here, there is frequently insufficient room to wait at the corner. ",49.227620063335436,-123.00781594387254
488,2021-12-17T17:39:00Z,hazard-concern,side walk infrastructure issue,too narrrow,The sidewalk and bike path lead together here and it is too narrow for both.,49.2223544543352,-122.99730784913845
489,2021-11-17T20:30:00Z,incident,hit by,vehicle turning left,"Elderly woman using a walker was hit by a car.  Car didn’t yield for woman in the crosswalk. Woman knocked down backwards, struck her head, feet/legs injured.",48.415376613403225,-123.37391676528438
490,2022-01-02T16:24:34Z,hazard-concern,safety/comfort concern,other users - bicycle,Blind turn from Frenchette Street to Lansdowne.  Pedestrians / Cyclists high speed accident risk as bikes from Frenchette turning left on to Lansdowne Road.,48.44623275228645,-123.3270937257958
491,2019-09-13T14:30:00Z,incident,hit by,vehicle turning left,"I was riding my bicycle in the bike lane. The light was green, but traffic was backed up. As I entered the intersection the south bound car turned left into my path and struck me. I suffered a broken leg (requiring surgery), fractured wrist and concussion. ",48.44511202527342,-123.46703033201388
492,2022-01-02T17:38:40Z,hazard-concern,side walk infrastructure issue,"obstruction - pole (hydro, telephone)",Lots of poles in the area narrowing the sidewalk in front of the school.,48.43497836903037,-123.38771390435383
493,2022-01-02T17:38:40Z,hazard-concern,side walk infrastructure issue,obstruction - vegetaion that narrows pathway,Overgrown vegetation combined with hydro poles in area mean that parts of the sidewalk are rarely more than 2 ft wide.,48.43507001649653,-123.38729774286135
494,2022-01-01T17:40:00Z,hazard-concern,weather related or seasonal,snow,Not even a pretence of sidewalk snow clearing around Sikh Temple (though parking lots completely cleared). Plus on Blackwood between Topaz and Summit sidewalk only on the side of the Temple.,48.44321699776157,-123.35466344696297
495,2021-12-14T21:34:00Z,incident,near miss,vehicle turning head-on,"a pedestrian walking parallel to the road i was driving on, stepped onto the roadway without looking, I locked up the brakes to come to a stop inches from the pedestrian wearing earbuds and staring at a hand held screen. she looked up at me startled from the tyres screeching and showed me her middle finger and mouthed the words ""fuck you"" and continued her way across the road. perhaps she wasn't grateful that my reactions and brakes worked.
",48.427893055902594,-123.33430106248153
496,2022-01-02T18:24:18Z,incident,near miss,vehicle turning head-on,"Driver saw me walking half way thru the crosswalk, but he did not stop or slow down to yield the pedestrian at all. This is  common to all residents that using the crosswalk, a YELLOW flashing light should be installed.",48.42414224312073,-123.30569413145963
497,2022-01-02T18:40:17Z,hazard-concern,side walk infrastructure issue,other,Sidewalk is unplowed and clogged by snow. This duplex is a corner property so the unrollable/unwalkable part is extensive and presents a hazard for elders and anyone with a mobility issue. ,48.41572043928447,-123.36895116189632
498,2021-11-16T23:00:00Z,incident,near miss,vehicle turning left,"I was crossing douglas street at tolmie in a crosswalk with the walk signal, heading east on tolmie, when  a westbound driver who was turning left from tolmie to douglas narrowly missed hitting me. He was looking for traffic to his right on douglas and clearly wasn’t looking for pedestrians. I now cross douglas on the other side of the intersection, which feels safer. ",48.44787027876128,-123.37240626545226
499,2017-06-15T15:44:00Z,incident,near miss,vehicle turning left,This is a dangerous corner for morning rushing-to-work traffic. A car was speeding through their left turn after the turn signal was done and the walk signal had started for the pedestrians crossing Fort. I was first to cross and had to step back a bit but was still close enough to hit the car with my fist. Realised once I had reached my workplace that my arm was hurting and took myself to the emergency where I was treated for a broken ulna. My bad I guess...,48.424614967251976,-123.36521539318983
500,2022-01-02T18:45:14Z,hazard-concern,crossing issue,conflict with vehicles turning right,There is a tall-grass shrub at the southeast corner of derby and maplewood right by the crossing signal button that obscures the view of drivers turning right from maplewood to derby. My daughter and I were almost hit because of it (also because the driver was going too fast),48.45552786550104,-123.35068321307901
501,2022-01-02T18:45:14Z,hazard-concern,safety/comfort concern,other,Cedar shrub growth at road edge obscures visibility for pedestrians where the road bends. ,48.45953389688324,-123.35655515988023
